Agency name,Organisation ID,Actor type,Abbreviation,Donor,Name of implementing partners (if different),Division name,Address,Parish,Neighbourhood name,Sector_Other,Title,Detailed Activity description,Target Population,Number of HHs targeted by activity,Number of individuals targeted by activity,Ongoing / planned / completed / suspended,Start (month),End (month),Livelihood - economic empowerement,Social and legal assistance,"Social services (health, education, basic infrastructure)",Feel free to add any comment or clarification,Name,Position,Email
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,,Kawempe,,,"Mengo, Kisenyi III, Nakulabye, Kosovo, Katwe II, Kansanga, Kawepe I, Bwaise II, Kazo Angola","Water, Sanitation and Environment",,"The program 'Out Cities 2030' works in partnership with primary schools to promote positive environmental behaviours at the community level. Environmental clubs are created in the schools and organise community activities that include: awreness campaigns, street cleaning, advocacy campaigns for Corporate social Responsibility.",,,3000 youth are empowered through clubs in 10 primary schools (both public and private),Ongoing,01-Jul-18,01-Dec-20,x,x,x,,Louise Thaller,AGORA programme Officer,louise.thaller@impact-initiatives.org
Uganda Red Cross Society (URCS),8,Governement Auxiliary,Uganda Red Cross Society (URCS),,,All,,,TBD,Public Administration,,"The Uganda Red Cross Society will implement the Innovative Approaches to Response Preparedness Project (IARP) supported by the Netherlands Red Cross for a period of five years (2018 to 2022). These innovative approaches include three project pillars Forecast based Financing, Cash Transfer Programing and Data Preparedness within the context of disaster preparedness, to be technically supported by the Red Cross Red Crescent Climate Centre, KRCS, with their regional CTP coordinator with support from British Red Cross and 510 respectively.",,,National Project,Under development,01-Apr-18,01-Dec-22,,,x, ,Louise Thaller,AGORA programme Officer,louise.thaller@impact-initiatives.org
Refuge and Hope International,22,International Non Governmental Organisation,Refuge and Hope International,,,Makindye,,KANSANGA,Nsambya Katwe near Kevina Road,Social Development,,Hope Unlimited- This project was set up to enable Refuge and Hope be more self-sustainable in the future. We do this through supporting refugee-initiated income generating startups and partnering with locally owned businesses. A fraction of profits from these businesses is then reverted to Refuge and Hope.,,,,Ongoing,05-Feb-18,31-Dec-18,x,,,,Joseph Lohose,Executive Director,josephlohose@gmail.com
International Rescue Committee,6,International Non Governmental Organisation,International Rescue Committee,,,Makindye,,MAKINDYE I,Nsambya Katwe near Kevina Road,Social Development,,Running Livelihoods Resource Center - involves training refugees and Ugandans in vocational and business skills as well as VSLA support. The Centre provides information to different walk -in clients.,,,2500,Ongoing,02-Jan-18,09-Jan-18,x,,,,,,
HOPE FOR REFUGEES IN ACTION,3,Community Based Organisation,HOPE FOR REFUGEES IN ACTION,,,Makindye,,KATWE II,Katwe,Social Development,,Improving refugee integration's and self reliance,,,1200,Ongoing,01-Dec-15,,x,,,,Bolingo Ntahira john,Executive Director,ntahira.hocw@gmail.com
HOPE FOR REFUGEES IN ACTION,3,Community Based Organisation,HOPE FOR REFUGEES IN ACTION,,,Makindye,,KATWE II,"Lungujja kosovo,Busega,Nankulabye,Bulange,Nansana",Social Development,,Improving refugee integration's and self reliance,,,1200,Ongoing,01-Dec-15,,x,,,"I AM Women of Action aim at empowering communities,develop,talents and create opportunities. Our programs are Adult Education,Saving Program,Livelihoods and health care.",Abalo Susan,Social worker,socialworker@iamfamily.org
Young African refugees for Integral Development,9,National Non Governmental Organisation,Young African refugees for Integral Development,,,Makindye,,KATWE I,TBD,Education,,Bridge to formal schooling for refugee children,,,210,Planned,01-Aug-15,01-Feb-18,x,x,x,"This is in design stage and no funding has been found yet. The size/scope of the program would depend on the neighborhood selection, needs/stakeholder workshop results, and amount of funding.",Sacha Manov,deputy director of programs,sacha.manov@rescue.org
Xavier Project,21,National Non Governmental Organisation,Xavier Project,,,"Makindye,Rubaga",,KATWE I,Makindye,Education,,"Empowerement of English language,Sponsorship of refugees,Empowerement and training of teachers to use correct methodologies.",,,352,Ongoing,01-Jan-09,,x,,,,,,
Xavier Project,21,National Non Governmental Organisation,Xavier Project,,,"Makindye,Rubaga",,NAJJANANKUMBI I,"Mengo, Kisenyi III, Nakulabye, Kosovo, Katwe II, Kansanga, Kawepe I, Bwaise II, Kazo Angola",Education,,"Empowerement of English language,Sponsorship of refugees,Empowerement and training of teachers to use correct methodologies.",,,352,Ongoing,01-Jan-09,,,x,,,Muhammad Ammanulah,Programme Development Manager,muhammad.amanullah@nrc.no
Xavier Project,21,National Non Governmental Organisation,Xavier Project,,,"Makindye,Rubaga",,NSAMBYA CENTRAL,,Education,,"Empowerement of English language,Sponsorship of refugees,Empowerement and training of teachers to use correct methodologies.",,,352,Ongoing,01-Jan-09,,,,x,"This is countrywide project whose target areas will be prioritised after conducting risk mapping framework based on the INFORM index (an open-source risk assessment for humanitarian crises and disasters). The FbF system will is designed as such that, for any forecast received, action will target the most vulnerable. In addition to risk mapping, other criteria such as the presence of a refugee population in at least one of the target areas will be considered.",Robert Okumu,Project Manager -Innovative Approaches in Response Preparedness,rokumu@redcrossug.org
